Prompt	Category	Challenge	Note	Decisions
bond	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,ret,gen,gen,gen
element	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,ret,gen,ret,gen
molecule	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,ret,gen,gen,gen
life	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,ret,ret,same,gen
protein	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret,ret,gen,ret,gen
yin-yang	Abstract	Basic	Related to five elements	same,same,ret,ret,ret
wood	Abstract	Basic	Related to five elements	same,ret,gen,gen,ret
metal	Abstract	Basic	Related to five elements	ret,ret,same,ret,gen
space	Abstract	Basic	Related to five elements	gen,ret,ret,ret,gen
air	Abstract	Basic	Related to five elements	ret,ret,gen,ret,ret
fire	Abstract	Basic	Related to five elements	same,gen,ret,ret,gen
water	Abstract	Basic	Related to five elements	ret,same,gen,ret,ret
earth	Abstract	Basic	Related to five elements	gen,ret,gen,same,ret
force	Abstract	Basic	Physics concepts	gen,ret,gen,gen,ret
motion	Abstract	Basic	Physics concepts	gen,ret,same,ret,gen
inertia	Abstract	Basic	Physics concepts	gen,gen,gen,gen,gen
energy	Abstract	Basic	Physics concepts	ret,ret,ret,ret,same
black hole	Abstract	Basic	Physics concepts	same,gen,same,ret,gen
gravity	Abstract	Basic	Physics concepts	ret,ret,gen,gen,gen
peace	Abstract	Basic		ret,ret,ret,ret,ret
fairness	Abstract	Basic		ret,same,gen,ret,ret
gender	Abstract	Basic		gen,ret,gen,ret,gen
intelligence	Abstract	Basic		ret,same,same,gen,gen
bias	Abstract	Basic		same,ret,gen,ret,gen
hate	Abstract	Basic		same,gen,ret,gen,ret
anger	Abstract	Basic		same,ret,same,ret,ret
emotion	Abstract	Basic		gen,gen,gen,ret,gen
feeling	Abstract	Basic		same,gen,ret,gen,same
love	Abstract	Basic		same,gen,ret,ret,same
artificial intelligence	Abstract	Basic		ret,ret,ret,ret,ret
meaning of life	Abstract	Basic		ret,same,ret,ret,gen
42	Abstract	Basic	Simple numbers but challenging	ret,ret,same,gen,ret
0	Abstract	Basic	Simple numbers but challenging	gen,gen,ret,ret,ret
infinity	Abstract	Basic	Math concepts	ret,ret,gen,ret,ret
imaginary numbers	Abstract	Basic	Math concepts	ret,same,ret,ret,ret
Fibonacci number	Abstract	Basic	Math concepts	same,ret,same,ret,ret
golden ratio	Abstract	Basic	Math concepts	ret,gen,gen,gen,ret
an F1	Vehicles	Basic		gen,gen,ret,gen,same
parallel lines	Illustrations	Basic	Math concepts	ret,ret,ret,same,gen
concentric circles	Illustrations	Basic	Math concepts	ret,gen,ret,gen,ret
concurrent lines	Illustrations	Basic	Math concepts	ret,gen,ret,gen,gen
congruent triangles	Illustrations	Basic	Math concepts	ret,same,gen,ret,ret
a hot air balloon	Vehicles	Basic		gen,gen,gen,ret,gen
The Starry Night	Arts	Basic		ret,ret,ret,ret,ret
300	Abstract	Basic	Simple numbers but challenging	ret,gen,gen,ret,gen
101	Abstract	Basic	Simple numbers but challenging	gen,ret,ret,gen,gen
U.S. 101	World Knowledge	Basic	Simple numbers but challenging	gen,ret,ret,ret,ret
commonsense	Abstract	Basic		ret,same,same,same,same
happiness	Abstract	Basic		gen,same,gen,ret,same
hope	Abstract	Basic		same,ret,gen,ret,ret
insight	Abstract	Basic		ret,ret,ret,ret,ret
inspiration	Abstract	Basic		ret,ret,same,ret,ret
derision	Abstract	Basic		ret,gen,ret,ret,gen
Salvador Dalí	People	Basic		ret,ret,ret,ret,ret
a shiba inu	Animals	Basic		ret,gen,same,ret,gen
a handpalm	People	Basic		ret,ret,ret,ret,ret
an espresso machine	Artifacts	Basic		same,gen,ret,ret,ret
a propaganda poster	Artifacts	Basic		same,same,gen,ret,ret
The Oriental Pearl	World Knowledge	Basic	CogView	gen,same,ret,gen,gen
Ha Long Bay	World Knowledge	Basic		ret,same,same,gen,same
A Vietnam map	World Knowledge	Basic		ret,ret,ret,gen,same
A bowl of Pho	Food & Beverage	Basic		ret,same,same,gen,ret
a snail	Animals	Basic		ret,gen,gen,gen,same
brain coral	Animals	Basic		ret,ret,ret,ret,gen
a walnut	Produce & Plants	Basic		same,ret,same,gen,gen
a capybara	Animals	Basic		gen,ret,same,gen,ret
a baby penguin	Animals	Basic		ret,ret,ret,ret,gen
a cup of boba	Food & Beverage	Basic		gen,ret,same,same,ret
a photo of san francisco's golden gate bridge	World Knowledge	Basic	DALL-E	ret,same,ret,gen,ret
A picture of some food in the plate	Food & Beverage	Basic	VQ-Diffusion	gen,ret,ret,gen,ret
a chair	Artifacts	Basic		gen,ret,same,gen,gen
the Empire State Building	World Knowledge	Basic		same,same,gen,ret,gen
the Sydney Opera House	World Knowledge	Basic		gen,gen,same,same,gen
a hedgehog	Animals	Basic		gen,same,gen,gen,gen
a corgi	Animals	Basic		ret,same,same,gen,ret
a robot	Artifacts	Basic		gen,gen,ret,ret,ret
robots	Artifacts	Basic		gen,gen,gen,same,gen
a fall landscape	Outdoor Scenes	Basic		gen,same,gen,same,gen
a sunset	Outdoor Scenes	Basic		ret,ret,ret,same,gen
a boat	Vehicles	Basic		gen,gen,gen,gen,gen
a fox	Animals	Basic		gen,gen,gen,ret,gen
a red cube	Illustrations	Basic		gen,ret,gen,ret,gen
a panda	Animals	Basic		gen,gen,ret,ret,gen
a space elevator	Artifacts	Basic	GLIDE	gen,same,ret,gen,same
a city	Outdoor Scenes	Basic		same,ret,gen,gen,gen
a fog	Outdoor Scenes	Basic		gen,gen,ret,same,same
a clock	Artifacts	Basic		gen,same,gen,same,ret
a phone	Artifacts	Basic		same,same,gen,ret,same
food	Food & Beverage	Basic		gen,gen,gen,gen,gen
a store front	Outdoor Scenes	Basic		ret,same,gen,gen,gen
an armchair	Artifacts	Basic		ret,ret,gen,ret,same
a teapot	Artifacts	Basic		ret,ret,ret,ret,same
an illustration of a teapot	Artifacts	Basic	DALL-E	ret,gen,ret,gen,same
a tiger	Animals	Basic		same,same,ret,gen,gen
a bench	Artifacts	Basic		ret,gen,same,same,ret
an orange	Produce & Plants	Basic		ret,ret,gen,gen,ret
a laptop	Artifacts	Basic		ret,ret,ret,same,same
an owl	Animals	Basic		ret,same,same,ret,ret
a train	Vehicles	Basic		gen,gen,gen,gen,gen
a cow	Animals	Basic		gen,gen,ret,same,ret
a submarine	Vehicles	Basic		gen,gen,gen,gen,gen
a whale	Animals	Basic		ret,gen,gen,gen,same
a t-shirt	Artifacts	Basic		gen,gen,same,gen,ret
a bowl	Artifacts	Basic		gen,same,gen,gen,gen
a flag	Artifacts	Basic		ret,ret,gen,ret,ret
a cat	Animals	Basic		gen,ret,gen,same,ret
a towel	Artifacts	Basic		ret,ret,gen,ret,same
a wall	Artifacts	Basic		same,same,gen,gen,same
a car	Vehicles	Basic		gen,gen,gen,gen,gen
a giraffe	Animals	Basic		ret,ret,ret,ret,ret
an eagle	Animals	Basic		ret,gen,same,gen,same
a kangaroo	Animals	Basic		gen,gen,same,ret,gen
a canal	Outdoor Scenes	Basic		same,same,gen,gen,same
the grand canyon	World Knowledge	Basic		gen,ret,same,gen,same
lily pads	Produce & Plants	Basic		same,ret,ret,ret,ret
a street	Outdoor Scenes	Basic		same,gen,gen,gen,gen
a house	Outdoor Scenes	Basic		gen,gen,same,gen,gen
a fish	Animals	Basic		ret,ret,gen,gen,ret
a city intersection	Outdoor Scenes	Basic		gen,gen,gen,same,same
a circle	Illustrations	Basic		gen,same,ret,gen,ret
a red circle	Illustrations	Basic		same,ret,ret,ret,ret
a box	Illustrations	Basic		ret,ret,same,same,ret
a yellow box	Illustrations	Basic		gen,gen,ret,ret,ret
a red box	Illustrations	Basic		gen,gen,gen,gen,ret
a sphere	Illustrations	Basic		gen,ret,gen,gen,gen
a red sphere	Illustrations	Basic		gen,gen,gen,same,ret
a large blue box	Illustrations	Basic		same,gen,gen,ret,ret
a blue metallic sphere	Illustrations	Basic		gen,gen,gen,gen,gen
a horse	Animals	Basic		gen,ret,gen,ret,same
a pumpkin	Produce & Plants	Basic		same,gen,gen,same,gen
a sword	Artifacts	Basic		gen,gen,ret,gen,gen
a statue	Artifacts	Basic		ret,ret,ret,same,gen
a logo	Illustrations	Basic		gen,ret,ret,ret,ret
a circular logo	Illustrations	Basic		gen,gen,gen,gen,ret
a coffee mug	Artifacts	Basic		gen,same,gen,gen,gen
a pig	Animals	Basic		gen,gen,gen,ret,ret
a squirrel	Animals	Basic		ret,gen,gen,ret,gen
a hammer	Artifacts	Basic		ret,ret,ret,ret,ret
a screwdriver	Artifacts	Basic		ret,ret,gen,ret,ret
a handsaw	Artifacts	Basic		ret,same,ret,ret,ret
a power drill	Artifacts	Basic		same,same,ret,gen,ret
a cocktail	Food & Beverage	Basic		same,same,gen,gen,gen
a margarita	Food & Beverage	Basic		gen,ret,ret,gen,gen
an avocado	Produce & Plants	Basic		ret,ret,ret,ret,ret
a kitchen	Indoor Scenes	Basic		same,gen,gen,same,gen
an iPhone case	Artifacts	Basic		same,ret,ret,ret,gen
a coffee maker	Artifacts	Basic		ret,same,gen,ret,gen
a banana	Produce & Plants	Basic		same,ret,same,same,gen
a violin	Artifacts	Basic		same,same,gen,gen,same
a room	Indoor Scenes	Basic		ret,gen,gen,same,gen
a mountain	Outdoor Scenes	Basic		ret,same,same,same,gen
a bird	Animals	Basic		gen,ret,ret,ret,gen
a TV	Artifacts	Basic		ret,gen,same,gen,gen
a Christmas tree	Artifacts	Basic		gen,gen,ret,gen,gen
The Statue of Liberty	World Knowledge	Basic		same,same,ret,gen,ret
the Eiffel Tower	World Knowledge	Basic		gen,ret,ret,gen,gen
a zebra	Animals	Basic		same,same,gen,gen,gen
the city of London	World Knowledge	Basic		same,same,gen,gen,ret
a koi fish	Animals	Basic		gen,ret,ret,ret,gen
a pineapple	Produce & Plants	Basic		gen,ret,same,ret,ret
a toaster	Artifacts	Basic		gen,gen,ret,same,ret
a sign	Artifacts	Basic		gen,ret,gen,same,ret
a red lego block	Artifacts	Basic		gen,same,ret,ret,gen
teacup	Artifacts	Basic		ret,ret,ret,ret,gen
chair	Artifacts	Basic		gen,gen,gen,same,gen
waterfall	Outdoor Scenes	Basic		gen,same,gen,gen,gen
a pirate ship	Vehicles	Basic		ret,same,gen,gen,gen
a dragon	Animals	Basic		gen,same,gen,gen,ret
a present	Artifacts	Basic		same,gen,ret,ret,ret
a bottle	Artifacts	Basic		gen,gen,gen,gen,same
a book cover	Illustrations	Basic		gen,gen,ret,gen,gen
a sweatshirt	Artifacts	Basic		gen,gen,ret,ret,gen
matching socks	Artifacts	Basic		same,gen,same,same,ret
cash	Artifacts	Basic		gen,ret,gen,gen,gen
a wood cabin	Indoor Scenes	Basic		gen,same,same,gen,same
a clock tower	Artifacts	Basic		gen,gen,gen,gen,gen
a chimpanzee	Animals	Basic		gen,gen,ret,gen,ret
a hat	Artifacts	Basic		ret,same,gen,same,gen
sneakers	Artifacts	Basic		same,gen,same,gen,gen
a roast turkey	Food & Beverage	Basic		gen,gen,ret,ret,ret
a turkey	Animals	Basic		ret,ret,ret,ret,ret
a plate	Artifacts	Basic		gen,ret,gen,gen,gen
a ladder	Artifacts	Basic		gen,gen,gen,gen,gen
a Tyrannosaurus Rex	Animals	Basic		same,same,gen,gen,gen
a Stegasaurus	Animals	Basic		gen,same,gen,gen,gen
a Triceratops	Animals	Basic		ret,ret,ret,gen,gen
a Styracosaurus	Animals	Basic		gen,ret,ret,gen,gen
a Diplodocus	Animals	Basic		gen,gen,gen,gen,gen
a yellow sticky note	Artifacts	Basic		gen,ret,gen,ret,same
a ball	Artifacts	Basic		gen,gen,same,ret,ret
red balls	Artifacts	Basic		same,gen,ret,gen,gen
an ostrich	Animals	Basic		gen,gen,ret,gen,gen
a stone path	Outdoor Scenes	Basic		same,gen,ret,same,ret
a wooden deck	Outdoor Scenes	Basic		ret,same,ret,gen,same
an F1 race car	Vehicles	Basic		same,gen,ret,gen,same
a taxi	Vehicles	Basic		gen,gen,gen,gen,gen
a road	Outdoor Scenes	Basic		gen,gen,gen,gen,gen
a volcano	Outdoor Scenes	Basic		ret,gen,ret,gen,ret
a large open book	Artifacts	Basic		gen,same,gen,ret,gen
a living room	Indoor Scenes	Basic		ret,same,gen,gen,gen
an elephant	Animals	Basic		ret,same,ret,gen,ret
a tree	Produce & Plants	Basic		gen,same,gen,gen,same
a dolphin	Animals	Basic		gen,same,same,gen,ret
a rowboat	Vehicles	Basic		gen,gen,same,ret,gen
a crown	Artifacts	Basic		same,ret,same,gen,gen
a pick-up truck	Vehicles	Basic		gen,gen,ret,ret,same
a key	Artifacts	Basic		ret,same,ret,ret,gen
a goat	Animals	Basic		gen,gen,ret,ret,ret
a chest	Artifacts	Basic		ret,ret,ret,same,ret
a coffee table	Artifacts	Basic		gen,ret,gen,ret,gen
toy cars	Artifacts	Basic		same,ret,same,ret,ret
a bookshelf	Artifacts	Basic		gen,gen,ret,ret,ret
the moon	Outdoor Scenes	Basic		gen,same,ret,ret,ret
the Earth	Outdoor Scenes	Basic		ret,ret,ret,gen,gen
the International Space Station	World Knowledge	Basic		same,ret,ret,ret,gen
the planet Jupiter	Outdoor Scenes	Basic		gen,same,gen,gen,same
a tornado	Outdoor Scenes	Basic		gen,gen,gen,gen,gen
a tidal wave	Outdoor Scenes	Basic		ret,gen,gen,gen,gen
a laptop screen	Artifacts	Basic		gen,gen,ret,gen,ret
an airplane	Vehicles	Basic		gen,gen,gen,gen,gen
a butterfly	Animals	Basic		gen,gen,ret,ret,same
a lizard	Animals	Basic		gen,ret,ret,gen,gen
a turtle	Animals	Basic		gen,gen,ret,gen,gen
an octopus	Animals	Basic		ret,ret,ret,ret,ret
a book	Artifacts	Basic		ret,ret,gen,gen,gen
a moose	Animals	Basic		ret,ret,ret,ret,same
a kachina doll	World Knowledge	Basic		ret,same,ret,ret,same
a doorknocker	Artifacts	Basic		same,gen,same,ret,same
a rabbit	Animals	Basic		gen,gen,same,gen,ret
orange juice	Food & Beverage	Basic		same,same,gen,ret,same
a green pepper	Food & Beverage	Basic		same,same,ret,ret,same
beer	Food & Beverage	Basic		ret,same,gen,ret,gen
Times Square	World Knowledge	Basic		gen,ret,ret,same,ret
the Great Wall	World Knowledge	Basic		ret,ret,same,ret,ret
the Kremlin	World Knowledge	Basic		gen,ret,ret,ret,same
a pickup truck	Vehicles	Basic		ret,ret,ret,same,gen
