Prompt	Category	Challenge	Note	Decision
bond	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen
element	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret
molecule	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen
life	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret
protein	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret
yin-yang	Abstract	Basic	Related to five elements	ret
wood	Abstract	Basic	Related to five elements	gen
metal	Abstract	Basic	Related to five elements	ret
space	Abstract	Basic	Related to five elements	gen
air	Abstract	Basic	Related to five elements	same
fire	Abstract	Basic	Related to five elements	same
water	Abstract	Basic	Related to five elements	same
earth	Abstract	Basic	Related to five elements	same
force	Abstract	Basic	Physics concepts	same
motion	Abstract	Basic	Physics concepts	same
inertia	Abstract	Basic	Physics concepts	gen
energy	Abstract	Basic	Physics concepts	same
black hole	Abstract	Basic	Physics concepts	same
gravity	Abstract	Basic	Physics concepts	gen
peace	Abstract	Basic		ret
fairness	Abstract	Basic		ret
gender	Abstract	Basic		gen
intelligence	Abstract	Basic		ret
bias	Abstract	Basic		ret
hate	Abstract	Basic		same
anger	Abstract	Basic		gen
emotion	Abstract	Basic		ret
feeling	Abstract	Basic		same
love	Abstract	Basic		same
artificial intelligence	Abstract	Basic		same
meaning of life	Abstract	Basic		ret
42	Abstract	Basic	Simple numbers but challenging	gen
0	Abstract	Basic	Simple numbers but challenging	ret
infinity	Abstract	Basic	Math concepts	ret
imaginary numbers	Abstract	Basic	Math concepts	same
Fibonacci number	Abstract	Basic	Math concepts	same
golden ratio	Abstract	Basic	Math concepts	same
an F1	Vehicles	Basic		same
parallel lines	Illustrations	Basic	Math concepts	same
concentric circles	Illustrations	Basic	Math concepts	ret
concurrent lines	Illustrations	Basic	Math concepts	gen
congruent triangles	Illustrations	Basic	Math concepts	same
a hot air balloon	Vehicles	Basic		ret
The Starry Night	Arts	Basic		same
300	Abstract	Basic	Simple numbers but challenging	ret
101	Abstract	Basic	Simple numbers but challenging	gen
U.S. 101	World Knowledge	Basic	Simple numbers but challenging	ret
commonsense	Abstract	Basic		ret
happiness	Abstract	Basic		same
hope	Abstract	Basic		ret
insight	Abstract	Basic		same
inspiration	Abstract	Basic		ret
derision	Abstract	Basic		ret
Salvador Dalí	People	Basic		ret
a shiba inu	Animals	Basic		gen
a handpalm	People	Basic		ret
an espresso machine	Artifacts	Basic		same
a propaganda poster	Artifacts	Basic		same
The Oriental Pearl	World Knowledge	Basic	CogView	same
Ha Long Bay	World Knowledge	Basic		same
A Vietnam map	World Knowledge	Basic		ret
A bowl of Pho	Food & Beverage	Basic		same
a snail	Animals	Basic		same
brain coral	Animals	Basic		same
a walnut	Produce & Plants	Basic		ret
a capybara	Animals	Basic		same
a baby penguin	Animals	Basic		ret
a cup of boba	Food & Beverage	Basic		ret
a photo of san francisco's golden gate bridge	World Knowledge	Basic	DALL-E	same
A picture of some food in the plate	Food & Beverage	Basic	VQ-Diffusion	gen
a chair	Artifacts	Basic		same
the Empire State Building	World Knowledge	Basic		same
the Sydney Opera House	World Knowledge	Basic		same
a hedgehog	Animals	Basic		gen
a corgi	Animals	Basic		ret
a robot	Artifacts	Basic		gen
robots	Artifacts	Basic		gen
a fall landscape	Outdoor Scenes	Basic		gen
a sunset	Outdoor Scenes	Basic		ret
a boat	Vehicles	Basic		ret
a fox	Animals	Basic		gen
a red cube	Illustrations	Basic		gen
a panda	Animals	Basic		same
a space elevator	Artifacts	Basic	GLIDE	same
a city	Outdoor Scenes	Basic		same
a fog	Outdoor Scenes	Basic		same
a clock	Artifacts	Basic		same
a phone	Artifacts	Basic		same
food	Food & Beverage	Basic		gen
a store front	Outdoor Scenes	Basic		gen
an armchair	Artifacts	Basic		same
a teapot	Artifacts	Basic		same
an illustration of a teapot	Artifacts	Basic	DALL-E	ret
a tiger	Animals	Basic		same
a bench	Artifacts	Basic		gen
an orange	Produce & Plants	Basic		same
a laptop	Artifacts	Basic		same
an owl	Animals	Basic		ret
a train	Vehicles	Basic		gen
a cow	Animals	Basic		same
a submarine	Vehicles	Basic		gen
a whale	Animals	Basic		gen
a t-shirt	Artifacts	Basic		same
a bowl	Artifacts	Basic		gen
a flag	Artifacts	Basic		ret
a cat	Animals	Basic		same
a towel	Artifacts	Basic		same
a wall	Artifacts	Basic		same
a car	Vehicles	Basic		gen
a giraffe	Animals	Basic		ret
an eagle	Animals	Basic		ret
a kangaroo	Animals	Basic		same
a canal	Outdoor Scenes	Basic		same
the grand canyon	World Knowledge	Basic		same
lily pads	Produce & Plants	Basic		same
a street	Outdoor Scenes	Basic		ret
a house	Outdoor Scenes	Basic		gen
a fish	Animals	Basic		same
a city intersection	Outdoor Scenes	Basic		same
a circle	Illustrations	Basic		gen
a red circle	Illustrations	Basic		same
a box	Illustrations	Basic		same
a yellow box	Illustrations	Basic		gen
a red box	Illustrations	Basic		gen
a sphere	Illustrations	Basic		ret
a red sphere	Illustrations	Basic		same
a large blue box	Illustrations	Basic		ret
a blue metallic sphere	Illustrations	Basic		gen
a horse	Animals	Basic		same
a pumpkin	Produce & Plants	Basic		ret
a sword	Artifacts	Basic		gen
a statue	Artifacts	Basic		same
a logo	Illustrations	Basic		ret
a circular logo	Illustrations	Basic		same
a coffee mug	Artifacts	Basic		same
a pig	Animals	Basic		ret
a squirrel	Animals	Basic		same
a hammer	Artifacts	Basic		ret
a screwdriver	Artifacts	Basic		ret
a handsaw	Artifacts	Basic		ret
a power drill	Artifacts	Basic		same
a cocktail	Food & Beverage	Basic		gen
a margarita	Food & Beverage	Basic		same
an avocado	Produce & Plants	Basic		same
a kitchen	Indoor Scenes	Basic		same
an iPhone case	Artifacts	Basic		ret
a coffee maker	Artifacts	Basic		same
a banana	Produce & Plants	Basic		same
a violin	Artifacts	Basic		same
a room	Indoor Scenes	Basic		same
a mountain	Outdoor Scenes	Basic		same
a bird	Animals	Basic		same
a TV	Artifacts	Basic		ret
a Christmas tree	Artifacts	Basic		gen
The Statue of Liberty	World Knowledge	Basic		same
the Eiffel Tower	World Knowledge	Basic		same
a zebra	Animals	Basic		same
the city of London	World Knowledge	Basic		same
a koi fish	Animals	Basic		same
a pineapple	Produce & Plants	Basic		gen
a toaster	Artifacts	Basic		ret
a sign	Artifacts	Basic		ret
a red lego block	Artifacts	Basic		same
teacup	Artifacts	Basic		same
chair	Artifacts	Basic		same
waterfall	Outdoor Scenes	Basic		same
a pirate ship	Vehicles	Basic		same
a dragon	Animals	Basic		same
a present	Artifacts	Basic		same
a bottle	Artifacts	Basic		same
a book cover	Illustrations	Basic		gen
a sweatshirt	Artifacts	Basic		same
matching socks	Artifacts	Basic		ret
cash	Artifacts	Basic		gen
