Prompt	Category	Challenge	Note	Decisions
bond	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret,gen,gen,same,gen
element	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret,ret,ret,ret,same
molecule	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,gen,gen,gen,gen
life	Abstract	Basic	Biology-inspired concepts with multiple meanings	gen,ret,ret,same,ret
protein	Abstract	Basic	Biology-inspired concepts with multiple meanings	ret,ret,same,ret,ret
yin-yang	Abstract	Basic	Related to five elements	same,gen,ret,ret,ret
wood	Abstract	Basic	Related to five elements	same,same,gen,gen,gen
metal	Abstract	Basic	Related to five elements	same,ret,ret,ret,ret
space	Abstract	Basic	Related to five elements	gen,gen,ret,same,gen
air	Abstract	Basic	Related to five elements	gen,ret,gen,ret,same
fire	Abstract	Basic	Related to five elements	ret,gen,gen,ret,ret
water	Abstract	Basic	Related to five elements	gen,ret,same,gen,ret
earth	Abstract	Basic	Related to five elements	ret,same,ret,gen,gen
force	Abstract	Basic	Physics concepts	ret,gen,ret,gen,gen
motion	Abstract	Basic	Physics concepts	ret,gen,same,ret,same
inertia	Abstract	Basic	Physics concepts	gen,gen,gen,gen,ret
energy	Abstract	Basic	Physics concepts	ret,gen,gen,same,same
black hole	Abstract	Basic	Physics concepts	same,ret,same,ret,gen
gravity	Abstract	Basic	Physics concepts	ret,gen,gen,gen,gen
peace	Abstract	Basic		ret,ret,gen,ret,ret
fairness	Abstract	Basic		ret,ret,ret,ret,ret
gender	Abstract	Basic		gen,gen,same,ret,gen
intelligence	Abstract	Basic		ret,same,ret,gen,ret
bias	Abstract	Basic		same,ret,gen,ret,ret
hate	Abstract	Basic		same,ret,same,same,ret
anger	Abstract	Basic		gen,gen,same,ret,gen
emotion	Abstract	Basic		gen,ret,ret,ret,same
feeling	Abstract	Basic		gen,ret,ret,gen,ret
love	Abstract	Basic		gen,ret,ret,same,same
artificial intelligence	Abstract	Basic		ret,gen,ret,ret,gen
meaning of life	Abstract	Basic		gen,ret,ret,ret,ret
42	Abstract	Basic	Simple numbers but challenging	gen,gen,same,gen,ret
0	Abstract	Basic	Simple numbers but challenging	ret,ret,ret,ret,ret
infinity	Abstract	Basic	Math concepts	ret,ret,ret,ret,ret
imaginary numbers	Abstract	Basic	Math concepts	ret,same,ret,same,same
Fibonacci number	Abstract	Basic	Math concepts	same,gen,same,gen,same
golden ratio	Abstract	Basic	Math concepts	ret,gen,gen,gen,ret
an F1	Vehicles	Basic		gen,ret,ret,gen,gen
parallel lines	Illustrations	Basic	Math concepts	same,ret,ret,gen,gen
concentric circles	Illustrations	Basic	Math concepts	ret,same,ret,ret,ret
concurrent lines	Illustrations	Basic	Math concepts	gen,gen,gen,gen,ret
congruent triangles	Illustrations	Basic	Math concepts	same,same,gen,ret,ret
a hot air balloon	Vehicles	Basic		same,ret,gen,ret,ret
The Starry Night	Arts	Basic		ret,ret,gen,same,gen
300	Abstract	Basic	Simple numbers but challenging	ret,ret,ret,ret,gen
101	Abstract	Basic	Simple numbers but challenging	gen,same,same,gen,gen
U.S. 101	World Knowledge	Basic	Simple numbers but challenging	gen,ret,ret,ret,ret
commonsense	Abstract	Basic		ret,ret,ret,gen,ret
happiness	Abstract	Basic		gen,same,ret,gen,ret
hope	Abstract	Basic		gen,ret,ret,ret,ret
insight	Abstract	Basic		ret,gen,ret,gen,ret
inspiration	Abstract	Basic		ret,ret,ret,gen,ret
derision	Abstract	Basic		ret,gen,ret,same,ret
Salvador Dalí	People	Basic		ret,ret,same,ret,ret
a shiba inu	Animals	Basic		same,gen,gen,ret,gen
a handpalm	People	Basic		ret,ret,ret,ret,ret
an espresso machine	Artifacts	Basic		same,ret,same,ret,same
a propaganda poster	Artifacts	Basic		same,same,ret,gen,ret
The Oriental Pearl	World Knowledge	Basic	CogView	ret,ret,ret,gen,gen
Ha Long Bay	World Knowledge	Basic		gen,same,ret,gen,same
A Vietnam map	World Knowledge	Basic		same,ret,ret,ret,same
A bowl of Pho	Food & Beverage	Basic		gen,same,ret,same,same
a snail	Animals	Basic		same,ret,gen,same,same
brain coral	Animals	Basic		same,ret,gen,ret,gen
a walnut	Produce & Plants	Basic		ret,ret,same,ret,ret
a capybara	Animals	Basic		gen,ret,same,gen,same
a baby penguin	Animals	Basic		ret,same,ret,ret,ret
a cup of boba	Food & Beverage	Basic		gen,ret,same,ret,ret
a photo of san francisco's golden gate bridge	World Knowledge	Basic	DALL-E	gen,same,same,gen,ret
A picture of some food in the plate	Food & Beverage	Basic	VQ-Diffusion	gen,ret,same,gen,gen
a chair	Artifacts	Basic		same,ret,gen,ret,gen
the Empire State Building	World Knowledge	Basic		same,same,gen,ret,ret
the Sydney Opera House	World Knowledge	Basic		gen,gen,same,ret,ret
a hedgehog	Animals	Basic		same,same,gen,gen,gen
a corgi	Animals	Basic		ret,ret,same,same,ret
a robot	Artifacts	Basic		gen,gen,gen,gen,gen
robots	Artifacts	Basic		gen,gen,ret,gen,gen
a fall landscape	Outdoor Scenes	Basic		gen,gen,gen,same,gen
a sunset	Outdoor Scenes	Basic		ret,ret,ret,gen,ret
